"id","Region","Rooms","Area","Price","Street","Zip","City"
1082,Zuerich,"3.5","116","3650",Am Landsberg 39,"8330",Pfaeffikon
1083,Zuerich,"4.5","115","3887",Am Stadtrand 56,"8600",Duebendorf
1084,Zuerich,"3.5","75","2400",Schoenbueelstrasse 42,"8330",Pfaeffikon
1085,Zuerich,"2.5","58","3545",Am Stadtrand 56,"8600",Duebendorf
1086,Zuerich,"4.5","114","4032",Kaeferholzstrasse 42,"8057",Zuerich
1087,Zuerich,"3.5","100","2760",Laettenstrasse 11,"8335",Hittnau
1088,Zuerich,"2.5","90","3220",Grabenwies 2,"8057",Zuerich
1090,Zuerich,"5.5","118","3147",Am Giessenpark 15,"8600",Duebendorf
1091,Zuerich,"1.5","24","1720",Herrligweg 9,"8048",Zuerich
1092,Zuerich,"4.5","89","2699",In Lampitzaeckern 45,"8305",Dietlikon
1093,Zuerich,"4.5","136","3240",Dietlikerstrasse 64,"8302",Kloten
1094,Zuerich,"2.5","54","2600",Hagenholzstrasse 59,"8050",Zuerich
1095,Zuerich,"4.5","105","4090",Widmerstrasse 87,"8038",Zuerich
1096,Zuerich,"1.5","26","1921",Herrligweg 9,"8048",Zuerich
1097,Zuerich,"4.5","119","2959",Lorenweg 20,"8610",Uster
1098,Zuerich,"3.5","102","3975",Sonnentalstrasse 13,"8600",Duebendorf
1099,Zuerich,"3.5","180","4835",Albulastrasse 60,"8048",Zuerich
1100,Zuerich,"1","18","1380",Albulastrasse 50,"8048",Zuerich
1101,Zuerich,"1","115","2432",Else-Zueblin-Strasse 85g,"8404",Winterthur
1102,Zuerich,"3.5","90","2979",Giessenplatz 6,"8600",Duebendorf
1103,Zuerich,"4.5","128","4880",Sonnentalstrasse 15,"8600",Duebendorf
1104,Zuerich,"1.5","51","1992",Faehnlibrunnenstr. 5,"8700",Kuesnacht ZH
1105,Zuerich,"4.5","160","3220",Nidermattweg 7,"8192",Glattfelden
1106,Zuerich,"2","48","1690",In Lampitzaeckern 41,"8305",Dietlikon
1107,Zuerich,"3.5","104","2830",Poststrasse 47,"8953",Dietikon
1108,Zuerich,"4.5","89","2640",In Lampitzaeckern 43,"8305",Dietlikon
1109,Zuerich,"1.5","31","2425",Am Stadtrand 56,"8600",Duebendorf
1110,Zuerich,"4.5","102","4190",Sonnentalstrasse 13,"8600",Duebendorf
1111,Zuerich,"4.5","77","2200",Zuercherstrasse 91,"8245",Feuerthalen
1112,Zuerich,"3.5","102","2632",Am Giessenpark 11,"8600",Duebendorf
1113,Zuerich,"3.5","94","3910",Alte Landstrasse 139,"8804",Au ZH
1114,Zuerich,"3.5","107","2815",Obstgartenstr. 20,"8136",Gattikon
1115,Zuerich,"5.5","137","3292",Murzlenstrasse 21,"8166",Niederweningen
1116,Zuerich,"4.5","117","4227",Kaeferholzstrasse 42,"8057",Zuerich
1117,Zuerich,"5.5","141","2795",Kalchtarenstrasse 13,"8912",Obfelden
1118,Zuerich,"4.5","117","4262",Kaeferholzstrasse 58,"8057",Zuerich
1119,Zuerich,"2.5","60","3710",Kalkbreitestrasse 41,"8003",Zuerich
1120,Zuerich,"3.5","92","2950",Widenstrasse 1,"8302",Kloten
1121,Zuerich,"3.5","93","2593",Wehntalerstr. 327,"8106",Adlikon b.Regensdorf
1122,Zuerich,"4.5","138","2600",Botzengasse 3,"8416",Flaach
1123,Zuerich,"3.5","59","1850",Zuercherstrasse 91,"8245",Feuerthalen
1124,Zuerich,"2.5","66","2130",Poststrasse 45,"8953",Dietikon
1125,Zuerich,"3.5","99","3170",Widenstrasse 11,"8302",Kloten
1126,Zuerich,"2.5","77","3240",Hohlstrasse 207,"8004",Zuerich
1127,Zuerich,"5.5","113","4720",Allenmoosstrasse 60,"8057",Zuerich
1128,Zuerich,"3.5","86","3850",Widmerstrasse 85,"8038",Zuerich
1129,Zuerich,"3.5","102","2640",Giessenstrasse 1,"8600",Duebendorf
1130,Zuerich,"2.5","68","1885",Im Feld 18,"8180",Buelach
1131,Zuerich,"2.5","76","3160",Alte Landstrasse 137,"8804",Au ZH
1132,Zuerich,"3.5","105","2990",Dietlikerstrasse 64,"8302",Kloten
1133,Zuerich,"1.5","45","2730",Zurlindenstrasse 111,"8003",Zuerich
1134,Zuerich,"4.5","121","4080",Poststrasse 45,"8953",Dietikon
1135,Zuerich,"4.5","119","3713",Seestrasse 59,"8708",Maennedorf
1136,Zuerich,"2.5","78","2495",Guyer-Zeller-Strasse 17,"8620",Wetzikon
1137,Zuerich,"2.5","58","3570",Toedistrasse 63,"8810",Horgen
1138,Zuerich,"4.5","110","2750",Untere Muehle 8,"8173",Neerach
1139,Zuerich,"2.5","84","2530",Im Grund 21,"8424",Embrach
1140,Zuerich,"4.5","80","2650",Schuetzenstrasse 11,"8953",Dietikon
1141,Zuerich,"2.5","50","2050",Schuetzenstrasse 11,"8953",Dietikon
1142,Zuerich,"4","125","4390",Ottikerstrasse 11,"8006",Zuerich
1154,Zuerich,"2","55","1755",Viktoriastr. 61,"8050",Zuerich
1155,Zuerich,"3.5","75","2414",Sandbuckweg 3a,"8157",Dielsdorf
1156,Zuerich,"3.5","77","2407",Talweg 132,"8610",Uster
1157,Zuerich,"2.5","56","2438",Lochaeckerstrasse 12,"8302",Kloten
1158,Zuerich,"7.5","205","5695",Scheideggstrasse 70,"8002",Zuerich
