id,Region,Rooms,Area,Price,Street,Zip,City,Latitude,Longitude
1082,Zuerich,3.5,116,3650,Am Landsberg 39,8330,Pfaeffikon,47.373634338378906,8.783357620239258
1083,Zuerich,4.5,115,3887,Am Stadtrand 56,8600,Duebendorf,47.399173736572266,8.600276947021484
1084,Zuerich,3.5,75,2400,Schoenbueelstrasse 42,8330,Pfaeffikon,47.362281799316406,8.799797058105469
1085,Zuerich,2.5,58,3545,Am Stadtrand 56,8600,Duebendorf,47.399173736572266,8.600276947021484
1086,Zuerich,4.5,114,4032,Kaeferholzstrasse 42,8057,Zuerich,47.401912689208984,8.531828880310059
1087,Zuerich,3.5,100,2760,Laettenstrasse 11,8335,Hittnau,47.36667251586914,8.828701972961426
1088,Zuerich,2.5,90,3220,Grabenwies 2,8057,Zuerich,47.40153503417969,8.536803245544434
1090,Zuerich,5.5,118,3147,Am Giessenpark 15,8600,Duebendorf,47.40132141113281,8.612338066101074
1091,Zuerich,1.5,24,1720,Herrligweg 9,8048,Zuerich,47.389892578125,8.484477996826172
1092,Zuerich,4.5,89,2699,In Lampitzaeckern 45,8305,Dietlikon,47.414306640625,8.615131378173828
1093,Zuerich,4.5,136,3240,Dietlikerstrasse 64,8302,Kloten,47.4433479309082,8.590741157531738
1094,Zuerich,2.5,54,2600,Hagenholzstrasse 59,8050,Zuerich,47.41465759277344,8.555407524108887
1095,Zuerich,4.5,105,4090,Widmerstrasse 87,8038,Zuerich,47.334983825683594,8.53151798248291
1096,Zuerich,1.5,26,1921,Herrligweg 9,8048,Zuerich,47.389892578125,8.484477996826172
1097,Zuerich,4.5,119,2959,Lorenweg 20,8610,Uster,47.358055114746094,8.709437370300293
1098,Zuerich,3.5,102,3975,Sonnentalstrasse 13,8600,Duebendorf,47.39689254760742,8.602004051208496
1099,Zuerich,3.5,180,4835,Albulastrasse 60,8048,Zuerich,47.38902282714844,8.492106437683105
1100,Zuerich,1.0,18,1380,Albulastrasse 50,8048,Zuerich,47.38846206665039,8.493203163146973
1101,Zuerich,1.0,115,2432,Else-Zueblin-Strasse 85g,8404,Winterthur,47.50279235839844,8.763493537902832
1102,Zuerich,3.5,90,2979,Giessenplatz 6,8600,Duebendorf,47.40032958984375,8.613106727600098
1103,Zuerich,4.5,128,4880,Sonnentalstrasse 15,8600,Duebendorf,47.39729309082031,8.601648330688477
1104,Zuerich,1.5,51,1992,Faehnlibrunnenstr. 5,8700,Kuesnacht ZH,47.320709228515625,8.579315185546875
1105,Zuerich,4.5,160,3220,Nidermattweg 7,8192,Glattfelden,47.56132888793945,8.495283126831055
1106,Zuerich,2.0,48,1690,In Lampitzaeckern 41,8305,Dietlikon,47.41470718383789,8.615015983581543
1107,Zuerich,3.5,104,2830,Poststrasse 47,8953,Dietikon,47.3998908996582,8.403274536132812
1108,Zuerich,4.5,89,2640,In Lampitzaeckern 43,8305,Dietlikon,47.4145393371582,8.615388870239258
1109,Zuerich,1.5,31,2425,Am Stadtrand 56,8600,Duebendorf,47.399173736572266,8.600276947021484
1110,Zuerich,4.5,102,4190,Sonnentalstrasse 13,8600,Duebendorf,47.39689254760742,8.602004051208496
1111,Zuerich,4.5,77,2200,Zuercherstrasse 91,8245,Feuerthalen,47.6915168762207,8.636555671691895
1112,Zuerich,3.5,102,2632,Am Giessenpark 11,8600,Duebendorf,47.40099334716797,8.612852096557617
1113,Zuerich,3.5,94,3910,Alte Landstrasse 139,8804,Au ZH,47.248538970947266,8.630265235900879
1114,Zuerich,3.5,107,2815,Obstgartenstr. 20,8136,Gattikon,47.28349304199219,8.550223350524902
